Name;Energy;Fats;Carbs;Proteins;Fiber;Sugars;Water
Acerola;32;0.3;7.69;0.4;1.1;91.41;0.2
Acerola, succo;23;0.3;4.8;0.4;0.3;4.5;94.3
Aceto;19;0;0.27;0.04;0;0;94.47
Aceto balsamico;88;0;17.03;0.49;14.95;76.45;0.37
Aceto di mele;21;0;0.93;0;0;0.4;93.81
Aceto distillato;18;0;0.04;0;0;0.04;94.78
Acido tartarico (cremor tartaro);258;0;61.5;0;0.2;0;1.7
Acqua del rubinetto;0;0;0;0;0;0;99.9
Acqua di cocco;19;0.2;3.71;0.72;1.1;2.61;94.99
Acqua tonica;34;0;8.8;0;0;8.8;91.1
Acqua, in bottiglia;0;0;0;0;0;0;99.98
Aglio;149;0.5;33.06;6.36;2.1;1;58.58
Aglio in polvere;331;0.73;72.73;16.55;9;2.43;6.45
Agnello, carne cruda;125;4.19;0;20.52;0;74.44;1.08
Agnello, carne grassa, cotta;586;59.18;0;12.16;0;0;26.14
Agnello, carne grassa, cruda;665;70.61;0;6.65;0;22.54;0.36
Agnello, carne magra, cotta;271;18.01;0;25.51;0;55.82;1.06
Agnello, carne magra, cruda;243;18.66;0;17.54;0;63.17;0.92
Agnello, coscia e spalla, grassa, brasata;223;8.8;0;33.69;0;0;56.23
Agnello, coscia e spalla, grassa, grigliata;186;7.33;0;28.08;0;63.53;1.48
Albicocche;48;0.39;11.12;1.4;2;9.24;86.35
Albicocche sciroppate;63;0.05;16.49;0.53;1.6;14.89;82.56
Albicocche secche;320;0.62;82.89;4.9;7.5;4.09;61
Albicocche, congelate, zuccherate;98;0.1;25.1;0.7;2.2;73.3;0.8
Alce, carne cruda;111;1.45;0;22.95;0;74.38;1
Alga agar, essiccata;306;0.3;80.88;6.21;7.7;2.97;8.68
Alga spirulina;26;0.39;2.42;5.92;90.67;0.6;12
Alga spirulina, essiccata;290;7.72;23.9;57.47;3.6;3.1;4.68
Alghe di mare, agar;26;0.03;6.75;0.54;0.5;0.28;91.32
